,CNRM-ESM2-1,CanESM5,IPSL-CM6A-LR
ssp460,5.2354517828695135,4.462038221214119,4.456784145380153
ssp126,3.0139708044320757,2.5273529498052847,2.4528477126431953
ssp119,2.4241019774747463,1.767719796057975,1.835637545433903
ssp534-over,3.8693077566609633,3.2677481396720776,2.728096863776385
ssp434,3.6786680751261445,3.4653721917063134,3.070757092506442
ssp585,8.056858809669189,6.101659998225937,6.52957670695206
ssp245,4.786495411729381,3.8025736239407295,3.8778944078754907
