,CNRM-ESM2-1,CanESM5,IPSL-CM6A-LR
ssp460,3.091559644080419,3.273213942260181,2.9014417189273907
ssp370,2.8571052412798523,3.1634254706559837,2.7048584069929156
ssp126,2.6494265443524583,2.338217037977516,2.546005997072793
ssp119,2.1386421709292143,2.191226514560244,2.424909512680332
ssp534-over,3.584706393331042,3.5996314269174774,3.246761801003775
ssp434,2.870405417072694,2.6755069923054013,2.6850742191199966
ssp585,3.869589520676128,3.3691710413699187,3.326114793815722
ssp245,3.327417137001579,2.725325401363346,2.5799964340696167
